timestamp_s,pitch_degrees,control_latency_microseconds
6.9,0.15276,0.95
6.91,-0.39017,1.91
6.92,0.13667,1.91
6.93,0.16484,1.19
6.94,0.21673,1.91
6.95,-0.37704,1.67
6.96,-0.29821,1.19
6.97,0.50734,0.72
6.98,0.09206,1.91
6.99,-0.32609,2.15
7.0,-0.39622,0.95
7.01,0.25792,1.91
7.02,-0.13032,0.95
7.03,-0.06894,1.91
7.04,0.60532,1.91
7.05,0.36751,1.91
7.06,0.50818,0.95
7.07,0.3749,1.19
7.08,0.063,0.72
7.09,-0.5895,2.15
7.1,-0.17671,0.95
7.11,-0.03501,0.95
7.12,-0.61341,0.95
7.13,0.17089,2.15
7.14,0.1571,1.91
7.15,-0.49008,1.91
7.16,-0.31949,0.95
7.17,-0.25706,1.91
7.18,0.22509,1.67
7.19,-0.08305,1.91
7.2,-0.22881,2.15
7.21,-0.19387,2.15
7.22,-0.2216,3.10
7.23,-0.33495,1.91
7.24,-0.68222,3.81
7.25,-0.39273,2.15
7.26,0.41773,3.10
7.27,0.28505,1.19
7.28,-0.10413,1.19
7.29,0.18092,0.95
7.3,0.59671,1.91
7.31,0.16448,2.15
7.32,0.08681,2.15
7.33,-0.16394,1.91
7.34,0.34079,1.91
7.35,0.11507,1.19
7.36,0.47733,0.95
7.37,-0.56461,0.95
7.38,-0.0507,1.91
7.39,0.28267,2.15
7.4,-0.57023,1.19
7.41,0.04014,1.91
7.42,0.15559,0.95
7.43,0.05034,2.15
7.44,0.16424,4.05
7.45,-0.376,1.19
7.46,0.33415,2.15
7.47,0.35766,1.19
7.48,0.13162,0.95
7.49,-0.17557,0.95
7.5,-0.22662,0.95
7.51,0.25548,0.95
7.52,-0.50867,2.15
7.53,-0.13102,0.95
7.54,0.01207,1.91
7.55,-0.16895,2.15
7.56,0.57051,2.15
7.57,-0.62888,0.95
7.58,-0.49334,1.19
7.59,0.55197,0.95
7.6,0.20321,0.95
7.61,-0.37847,0.95
7.62,0.59772,2.15
7.63,-0.35106,0.95
7.64,0.33684,2.15
7.65,0.36079,0.95
7.66,-0.59482,1.91
7.67,0.46278,1.19
7.68,-0.09645,0.72
7.69,-0.40258,0.95
7.7,-0.53,0.95
7.71,-0.40546,1.91
7.72,-0.31151,1.19
7.73,0.31355,1.91
7.74,-0.17079,5.25
7.75,-0.05468,1.91
7.76,-0.04014,2.15
7.77,0.22052,3.10
7.78,0.56937,1.91
7.79,-0.20499,1.19
7.8,0.50921,1.19
7.81,0.40569,1.91
7.82,-0.13865,3.10
7.83,0.29546,1.67
7.84,-0.43229,0.72
7.85,-0.08963,1.91
7.86,-0.30483,0.95
7.87,0.33631,0.95
7.88,-0.15971,0.95
7.89,0.17697,0.95
7.9,-0.05765,2.15
7.91,0.07182,0.95
7.92,0.36485,1.91
7.93,0.16385,1.19
7.94,-0.39106,1.19
7.95,0.1024,1.19
7.96,0.11829,1.67
7.97,0.30911,1.19
7.98,-0.55239,0.95
7.99,-0.20117,1.91
8.0,-0.34905,1.91
8.01,-0.04864,1.19
8.02,0.03991,0.72
8.03,0.17424,1.19
8.04,0.0214,1.91
8.05,0.69855,1.67
8.06,0.2426,0.95
8.07,0.26835,1.19
8.08,0.44904,2.15
8.09,0.23193,2.15
8.1,-0.61002,5.25
8.11,0.12276,1.91
8.12,0.4385,0.95
8.13,0.20423,0.95
8.14,-0.0053,0.95
