timestamp_s,pitch_degrees,control_latency_microseconds
7.36,2.22826,5.01
7.37,-0.20035,6.91
7.38,0.94059,9.06
7.39,0.81078,5.01
7.4,1.52494,4.05
7.41,2.25204,6.20
7.42,-0.02911,6.91
7.43,-1.03996,4.05
7.44,-1.80207,4.29
7.45,-1.28817,5.25
7.46,2.09331,4.77
7.47,3.63936,6.20
7.48,2.09174,6.20
7.49,1.56821,6.20
7.5,1.94395,5.96
7.51,0.97658,7.15
7.52,0.50726,4.05
7.53,2.59008,3.81
7.54,2.9972,6.20
7.55,2.22813,4.05
7.56,2.45488,3.81
7.57,-0.37644,5.25
7.58,2.7761,11.21
7.59,4.73679,10.01
7.6,5.59585,5.96
7.61,5.74649,3.81
7.62,7.14103,5.96
7.63,5.81099,5.96
7.64,3.62527,5.01
7.65,2.30073,5.01
7.66,1.3379,7.87
7.67,3.49731,6.91
7.68,3.1283,5.25
7.69,0.29844,5.01
7.7,0.22888,4.05
7.71,0.59936,5.01
7.72,1.35722,9.06
7.73,2.42751,5.01
7.74,-0.17872,4.77
7.75,1.39764,6.20
7.76,0.86149,5.01
7.77,2.1829,4.77
7.78,2.3345,3.81
7.79,0.55701,8.11
7.8,0.94188,5.96
7.81,1.1095,4.77
7.82,1.37922,7.87
7.83,1.77316,6.91
7.84,0.16575,4.05
7.85,1.83322,6.20
7.86,0.44447,5.01
7.87,1.81106,5.01
7.88,-0.26368,5.96
7.89,0.02948,5.96
7.9,0.95213,5.01
7.91,0.99409,5.01
7.92,1.71595,5.96
7.93,0.25273,4.05
7.94,-0.44353,6.20
7.95,1.05445,5.72
7.96,0.6081,6.91
7.97,2.63065,4.77
7.98,2.87994,4.05
7.99,1.39716,3.81
8.0,0.93936,5.01
8.01,1.63448,3.81
8.02,0.80132,4.77
8.03,1.38075,5.96
8.04,0.86364,4.77
8.05,2.10147,5.01
8.06,0.10598,4.05
8.07,-0.09927,5.01
8.08,0.45038,6.20
8.09,1.6154,7.15
8.1,0.56214,3.81
8.11,3.07741,4.77
8.12,3.62363,4.77
8.13,0.40061,5.96
8.14,-1.64021,4.05
8.15,-2.18946,4.77
8.16,-3.1354,6.91
8.17,-3.27181,6.20
8.18,-0.14804,5.01
8.19,1.16242,5.25
8.2,0.68248,4.05
8.21,2.22769,3.81
8.22,-0.54511,5.96
8.23,-1.48922,4.77
8.24,-2.52107,4.05
8.25,-1.20625,4.05
8.26,0.43713,4.05
8.27,0.6767,5.96
8.28,1.4429,5.25
8.29,1.79103,5.01
8.3,1.41749,5.72
8.31,2.19321,5.72
8.32,0.09902,5.72
8.33,0.19554,5.25
8.34,-0.51362,3.81
8.35,1.1269,5.72
8.36,-0.03431,4.05
8.37,0.5204,5.01
8.38,1.73045,6.20
8.39,0.17948,5.01
8.4,0.63972,3.81
8.41,2.60109,4.05
8.42,1.06441,4.05
8.43,2.94292,5.01
8.44,0.2574,5.01
8.45,-1.73436,6.20
8.46,-2.20282,3.81
8.47,-2.80184,5.01
8.48,-0.13819,5.01
8.49,0.75811,3.81
8.5,1.06957,5.25
8.51,1.56608,5.01
8.52,1.21701,6.91
8.53,2.22103,5.96
8.54,1.24149,4.05
8.55,2.98834,5.96
8.56,3.10372,5.01
8.57,0.54599,6.20
8.58,-0.44591,6.91
8.59,0.5522,5.01
8.6,0.42219,8.34
8.61,1.89032,6.20
8.62,1.9084,5.96
8.63,1.70728,6.20
8.64,1.22105,5.01
8.65,1.81138,9.06
8.66,1.03324,6.91
8.67,3.66153,3.81
8.68,3.47475,9.30
8.69,1.61667,6.91
8.7,1.9635,4.77
8.71,1.35253,5.01
8.72,2.18337,5.01
8.73,0.41311,5.96
8.74,1.70236,5.01
8.75,0.15007,3.81
8.76,1.27726,4.77
8.77,0.97793,3.81
8.78,0.60692,10.97
8.79,2.61495,4.05
8.8,3.087,4.29
8.81,1.19983,4.29
8.82,1.13065,6.20
8.83,1.67915,4.05
8.84,1.04756,11.92
8.85,2.86151,9.06
8.86,3.21176,5.01
8.87,1.88879,10.01
8.88,1.38418,25.99
8.89,2.31042,31.95
8.9,1.98716,15.02
8.91,1.41728,10.01
8.92,2.4289,11.68
8.93,0.98649,5.96
8.94,0.79095,11.92
8.95,1.41028,5.96
8.96,1.36316,5.96
8.97,1.84182,10.97
8.98,1.63417,11.92
8.99,1.93918,10.01
9.0,1.06458,6.91
9.01,2.14445,5.01
9.02,2.76672,5.25
9.03,0.45957,5.96
9.04,1.6264,7.87
9.05,0.06581,5.72
9.06,1.41769,5.96
9.07,1.68702,3.81
9.08,1.80506,6.20
9.09,1.76655,4.77
9.1,1.84861,6.91
9.11,1.18397,6.91
9.12,3.2718,5.72
9.13,4.12561,5.72
9.14,2.45324,7.15
9.15,2.16683,4.77
9.16,1.86443,6.91
9.17,1.95738,3.81
9.18,1.67175,5.72
9.19,1.57299,5.72
9.2,2.88233,6.20
9.21,1.4154,5.96
9.22,3.38546,4.29
9.23,4.21344,4.29
9.24,2.66078,5.01
9.25,0.67855,3.81
9.26,0.45926,5.96
9.27,2.00387,5.01
