timestamp_seconds,trial_1_pitch_deg,trial_2_pitch_deg,trial_3_pitch_deg
6.27,-0.0062,0.04159,-0.63574
6.28,-0.31787,0.39832,0.24677
6.29,-0.34187,0.06856,-0.23629
6.3,-0.15199,-0.10816,0.75887
6.31,-0.16789,0.82403,0.25159
6.32,0.68318,0.62288,0.02442
6.33,0.68437,0.08379,0.11345
6.34,0.28726,0.36882,-0.34999
6.35,0.00237,-0.1648,0.25792
6.36,0.57768,-0.49792,-0.2812
6.37,0.5412,0.08316,0.1224
6.38,-0.23907,0.50603,0.02835
6.39,-0.44565,0.0393,0.29543
6.4,-0.16282,-0.30454,0.28425
6.41,-0.21955,0.46332,-0.20395
6.42,0.19181,0.12231,-0.48808
6.43,0.30159,-0.5216,0.12714
6.44,0.04662,-0.3164,-0.03273
6.45,0.02819,-0.06382,0.13629
6.46,-0.22312,0.15608,0.59873
6.47,-0.21534,-0.02399,-0.26376
6.48,0.20221,-0.4097,0.49904
6.49,0.60316,0.15846,0.28481
6.5,-0.34989,0.08985,0.03448
6.51,-0.57325,0.32775,-0.27974
6.52,0.37173,-0.2752,-0.43495
6.53,0.49709,-0.04458,-0.00109
6.54,0.32634,-0.23248,0.42984
6.55,-0.26848,-0.24475,0.72391
6.56,-0.42885,0.43449,0.51112
6.57,0.05767,0.48319,-0.41144
6.58,-0.62263,0.07516,-0.19506
6.59,0.11443,-0.21653,0.28566
6.6,-0.40185,0.12422,0.1687
6.61,-0.05717,0.65323,-0.09469
6.62,-0.35117,0.76753,0.2358
6.63,-0.15949,0.61335,-0.20534
6.64,-0.2722,-0.41157,-0.43924
6.65,-0.49237,0.10549,0.33395
6.66,-0.13633,-0.27012,0.39581
6.67,-0.04816,-0.37041,0.10362
6.68,0.09751,-0.53668,0.02833
6.69,0.03357,-0.03683,-0.04626
6.7,0.63331,-0.29541,0.23036
6.71,0.28081,-0.43258,-0.00537
6.72,0.81706,-0.23486,0.14291
6.73,0.54403,0.49249,-0.39205
6.74,-0.33653,0.25975,-0.09378
6.75,-0.08529,0.41331,0.22022
6.76,0.24823,-0.08551,0.54654
6.77,-0.07489,-0.62223,-0.01466
6.78,-0.68965,-0.28626,0.15761
6.79,-0.38626,-0.26714,0.19902
6.8,0.31462,0.28161,-0.04063
6.81,0.07189,-0.05794,-0.20091
6.82,-0.32582,0.05425,-0.68666
6.83,-0.06807,-0.27886,-1.02192
6.84,-0.23666,-0.05261,-0.32695
6.85,0.02255,-0.54145,-0.3511
6.86,-0.03984,0.18667,0.50388
6.87,-0.15374,0.27973,0.08717
6.88,0.41902,-0.14202,0.41331
6.89,0.22232,0.2731,0.27372
6.9,-0.52014,0.30497,0.23263
6.91,-0.76028,0.03768,-0.3406
6.92,-0.68686,0.14711,0.12077
6.93,0.1412,-0.13479,0.55205
6.94,0.46221,-0.01408,0.54411
6.95,0.10665,-0.90176,-0.1852
6.96,0.18918,-0.42691,-0.42933
6.97,0.29581,-0.57864,0.20176
6.98,0.05669,-0.65452,-0.15345
6.99,-0.47956,-0.062,-0.24796
7.0,-0.47876,0.26339,0.47105
7.01,-0.68146,0.35646,-0.10152
7.02,-0.125,0.58775,0.22514
7.03,-0.02902,0.44289,-0.07589
7.04,0.21408,0.03137,0.65941
7.05,0.62177,0.06178,-0.00465
7.06,0.38028,-0.543,0.59093
7.07,-0.04313,-0.37944,0.25136
7.08,0.40495,-0.1543,-0.14278
7.09,0.01812,0.29185,0.27568
7.1,0.38491,0.36486,0.53269
7.11,0.16288,0.03544,0.00581
