timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
2.07,0.08448,1.91,0.24632,0.95,-0.42863,1.67
2.08,0.1728,0.95,-0.01781,1.91,0.01939,1.91
2.09,0.03851,1.19,-0.1516,2.15,0.00841,0.72
2.1,-0.67829,0.95,0.07964,2.15,-0.42638,0.95
2.11,-0.07569,2.15,0.14193,1.19,0.11338,1.91
2.12,-0.06928,1.91,-0.51071,0.95,0.64782,1.91
2.13,-0.05632,0.95,0.13636,0.95,0.39912,10.01
2.14,-0.35799,1.19,-0.12355,1.19,0.47947,2.15
2.15,0.10113,2.15,0.24035,0.95,-0.06792,0.95
2.16,0.39918,0.95,-0.28005,0.95,-0.39423,0.95
2.17,-0.36885,1.19,0.25961,0.95,0.34092,0.95
2.18,0.71441,0.72,0.29322,0.95,-0.27823,2.15
2.19,0.20899,0.95,-0.1757,0.95,0.10212,1.19
2.2,0.62707,0.95,-0.40277,0.95,0.31145,0.95
2.21,-0.34911,1.19,0.33294,0.95,-0.07022,1.19
2.22,-0.09483,2.15,0.30664,1.91,0.42234,0.95
2.23,0.59985,0.95,-0.63096,2.15,0.15508,1.19
2.24,0.27111,0.95,0.30793,1.19,-0.16837,1.19
2.25,0.37526,0.95,-0.10053,1.91,0.00937,1.91
2.26,-0.05272,1.19,-0.40443,1.67,0.32125,0.95
2.27,-0.25333,0.95,-0.12149,1.91,0.0067,2.15
2.28,0.37349,0.95,-0.36558,0.95,-0.33384,1.19
2.29,-0.07892,0.95,-0.41583,0.95,0.36114,1.19
2.3,-0.15298,0.95,-0.06439,1.19,-0.57489,2.15
2.31,-0.50772,1.91,0.55912,0.95,0.3188,3.81
2.32,0.53084,2.15,0.21727,3.81,-0.31741,3.1
2.33,-0.09855,2.15,-0.24234,1.91,0.58291,2.15
2.34,-0.59324,0.95,-0.25781,1.67,-0.31648,2.15
2.35,0.40486,2.15,0.43833,0.95,-0.00866,2.15
2.36,-0.25235,0.95,0.68576,1.91,-0.4041,1.91
2.37,-0.23052,0.95,-0.10709,0.95,-0.3643,1.19
2.38,0.36355,0.95,-0.00332,2.15,0.0016,0.95
2.39,-0.51095,0.95,-0.17858,6.91,-0.30202,1.91
2.4,0.0667,1.91,0.02573,6.91,0.23532,0.72
2.41,0.21084,1.67,0.42375,5.01,0.70649,2.15
2.42,-0.78531,6.2,0.0416,3.1,-0.19804,1.67
2.43,-0.76089,0.72,0.43195,3.1,0.41682,5.96
2.44,-0.23166,0.95,-0.23769,5.72,-0.1485,2.15
2.45,0.13427,0.72,-0.73441,2.15,0.0171,0.95
2.46,-0.22866,1.91,-0.38269,1.91,0.21821,2.15
2.47,-0.17644,1.91,-0.06987,2.86,-0.57881,2.15
2.48,0.25764,2.15,0.21234,0.95,0.27371,0.95
2.49,0.02846,2.15,-0.38629,2.15,0.42698,1.19
2.5,0.20692,1.91,0.32909,1.91,-0.67152,1.91
2.51,0.06256,2.15,-0.0958,1.19,0.51496,2.15
2.52,-0.30689,2.15,0.10724,1.19,0.29659,1.91
2.53,-0.26839,2.15,-0.07991,0.95,0.01162,0.95
2.54,-0.18422,1.91,0.58234,3.1,-0.27158,0.95
2.55,0.17563,0.95,-0.21839,3.1,0.16133,0.95
2.56,0.97343,2.15,0.47648,1.67,-0.50251,0.95
2.57,0.48755,0.95,-0.29653,1.67,-0.51095,0.95
2.58,0.27657,1.91,-0.03551,1.19,-0.52592,0.95
2.59,-0.29395,0.95,0.09827,0.95,0.36605,2.15
2.6,0.34591,1.91,0.2198,0.95,0.15248,0.72
2.61,-0.28203,1.19,0.21221,0.95,-0.24001,0.95
2.62,0.37783,1.91,0.17357,1.67,-0.10653,1.19
2.63,-0.22065,0.95,0.11995,0.95,0.33365,0.95
2.64,-0.3168,2.15,-0.02716,1.19,-0.51841,0.95
2.65,0.23578,0.95,-0.14363,1.91,-0.29505,1.91
2.66,0.08434,2.15,-0.34794,2.15,0.27124,3.1
2.67,-0.16918,0.95,0.40407,1.91,0.18793,2.15
2.68,-0.26926,0.95,-0.1507,0.72,0.33635,0.72
2.69,-0.33945,1.19,0.16933,0.95,0.45852,1.67
2.7,-0.31728,0.95,-0.16226,1.19,-0.15972,0.95
2.71,0.74633,3.1,-0.13738,2.15,-0.11114,1.19
2.72,-0.01209,0.95,-0.42333,0.95,-0.48786,5.72
2.73,-0.22715,2.15,0.17093,0.95,0.03258,1.91
2.74,-0.20562,0.72,-0.00976,0.95,-0.07181,1.91
2.75,0.45905,0.95,-0.03017,0.95,0.06449,2.15
2.76,0.17329,0.72,0.54858,0.95,-0.07521,0.95
2.77,-0.26774,2.15,-0.03186,0.72,0.23121,1.67
2.78,0.7837,0.95,0.03257,1.19,-0.17008,2.15
2.79,0.21185,1.19,0.00346,2.15,0.11954,0.95
2.8,0.45285,0.95,0.00925,1.19,-0.11481,2.15
2.81,-0.24246,2.15,0.29234,0.95,0.42674,1.19
2.82,-0.39915,1.19,-0.41199,1.91,0.10574,1.19
2.83,0.01423,0.95,-0.24452,2.15,0.56941,1.19
2.84,0.27833,2.15,0.19314,1.67,-0.50117,0.95
2.85,0.48492,0.72,-0.11,2.15,-0.24442,0.72
2.86,0.01004,0.95,-0.01873,2.15,0.10303,1.91
2.87,-0.28274,2.15,0.73273,1.91,-0.28881,0.95
2.88,-0.01349,0.95,0.01392,1.19,0.68513,0.95
2.89,0.04423,0.95,0.32396,2.15,-0.00564,0.95
2.9,0.39347,1.67,0.30227,5.72,-0.22731,0.95
2.91,-0.17966,2.15,-0.23259,1.19,0.03102,2.15
2.92,0.15863,0.95,-0.28703,2.15,0.01289,0.95
2.93,-0.10062,3.1,0.41673,0.95,-0.19657,0.95
2.94,0.55416,2.86,0.02472,1.91,0.52681,0.95
2.95,0.02003,3.81,-0.24886,0.95,0.32999,1.91
2.96,0.14569,1.91,0.25523,0.95,-0.11375,1.19
2.97,-0.30285,0.95,-0.55312,1.91,-0.45306,2.15
