timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
2.31,16.83514,5.25,13.84021,6.91,0.58541,5.96
2.32,20.06931,4.77,13.13475,4.05,-1.67556,6.2
2.33,20.3313,4.77,10.09479,5.25,-0.50182,5.01
2.34,18.47179,5.96,6.12193,4.77,-1.64761,5.96
2.35,17.76474,6.2,2.65857,5.01,0.32102,7.87
2.36,13.21754,4.77,1.06819,4.77,-1.11069,5.01
2.37,9.31549,5.25,-0.07913,4.77,-0.39486,5.96
2.38,5.85393,6.2,0.94008,5.25,0.19013,5.01
2.39,1.22153,5.25,1.15457,4.77,-0.6697,4.05
2.4,-0.89885,7.15,-0.79454,10.01,1.67323,5.25
2.41,-3.30055,6.91,1.33995,5.01,2.91946,5.01
2.42,-0.95979,5.72,1.57882,4.05,0.63122,4.05
2.43,1.11495,4.05,2.73047,4.29,1.11261,4.77
2.44,3.22605,6.2,1.67859,5.25,-0.74593,4.77
2.45,4.9058,10.25,0.0456,4.05,0.27052,5.96
2.46,2.59719,9.06,2.70542,5.01,-0.56236,5.96
2.47,1.12128,6.91,3.60719,5.25,0.13764,5.96
2.48,1.76699,7.15,3.46181,5.25,1.31788,5.72
2.49,-0.39391,7.87,1.44352,5.25,0.17733,5.72
2.5,-0.36462,6.2,2.05625,5.96,-0.65352,4.05
2.51,-0.15698,15.97,-0.59148,4.05,2.17473,5.01
2.52,-0.1044,11.21,-1.29243,4.29,0.20754,5.01
2.53,0.35974,7.87,-1.02889,4.05,-0.6264,4.77
2.54,-0.6837,15.02,1.92964,5.25,-1.29354,4.77
2.55,0.26301,6.91,0.65383,6.91,0.07506,5.25
2.56,0.22326,6.2,1.75551,12.16,-1.58313,4.05
2.57,-0.06215,5.72,-0.28392,7.87,-0.29732,4.77
2.58,0.76039,6.2,1.09158,6.2,-0.61981,6.2
2.59,-1.02971,6.2,0.60374,5.01,1.54964,5.01
2.6,-0.75415,6.2,0.83289,6.91,0.44339,5.01
2.61,-0.07653,5.25,-0.39164,5.25,0.93977,6.2
2.62,0.139,5.25,1.45557,5.72,-0.49142,5.25
2.63,-0.59637,5.25,1.54213,5.72,-0.21177,5.01
2.64,1.28781,5.01,1.58845,6.2,-0.85992,10.97
2.65,2.86845,5.01,-0.22285,7.87,1.94067,4.05
2.66,2.15619,6.2,-0.49461,8.11,3.22176,6.2
2.67,0.10626,5.01,1.86137,5.96,3.24698,4.29
2.68,0.46804,5.96,1.98559,6.2,0.31633,4.05
2.69,-0.33687,5.96,0.22644,7.87,-1.30033,6.2
2.7,1.01875,4.77,-0.85648,5.25,-2.04634,4.29
2.71,1.59902,4.05,-0.11043,5.01,-1.03766,5.01
2.72,-1.80859,5.01,-0.37604,10.01,-1.04691,5.96
2.73,-3.70571,9.06,1.93525,6.91,2.05106,5.01
2.74,-3.43467,4.77,0.72778,4.05,1.91454,5.01
2.75,-2.68205,5.01,1.12048,4.05,2.34039,5.01
2.76,-0.26151,5.96,0.29921,4.29,-0.16645,9.06
2.77,0.16649,4.77,-0.73805,5.01,-1.03146,5.01
2.78,1.16258,3.81,0.40644,7.15,-1.69608,4.05
2.79,-0.24274,7.87,-0.44102,5.01,-0.71701,10.01
2.8,1.38112,5.96,1.195,5.25,-0.26376,4.77
2.81,-1.15229,5.72,1.24962,4.77,0.73897,6.2
2.82,-2.02513,7.15,-1.03939,5.01,-0.43496,5.72
2.83,0.53418,5.01,-0.48354,5.96,1.61762,6.2
2.84,1.36536,4.77,0.25769,4.29,1.1254,4.05
2.85,1.49545,5.72,-0.88133,4.77,0.31846,6.2
2.86,-0.38062,6.91,1.27257,4.77,1.03726,4.77
2.87,0.62183,5.25,2.7067,4.05,-0.44323,5.72
2.88,0.76509,5.25,2.59199,6.2,1.96084,7.15
2.89,0.07485,4.77,0.00507,5.01,1.58589,5.01
2.9,0.97343,5.72,-1.16066,6.91,-0.56825,5.01
2.91,-1.8809,6.2,-2.79662,6.91,0.7587,5.01
2.92,-2.53092,4.77,-0.97479,7.87,0.95408,3.81
2.93,-2.7717,4.77,0.43078,5.72,0.46734,4.29
2.94,-0.10709,5.25,-0.46852,6.2,1.57474,5.01
2.95,-0.99656,6.2,1.64034,5.01,-0.77574,5.96
2.96,1.10273,6.2,2.87085,5.01,-1.6763,5.01
2.97,1.25123,5.25,1.75596,6.2,-1.14832,5.72
2.98,0.66742,5.01,0.80847,3.81,0.71156,5.01
2.99,1.3061,5.96,0.74354,27.18,-1.10343,5.01
3.0,-0.08192,5.96,0.23143,32.19,-1.25709,3.81
3.01,1.55262,7.15,1.76817,16.93,0.25071,4.77
3.02,0.48896,4.77,-0.4199,12.16,-1.06421,7.87
3.03,1.59738,6.91,0.10522,10.01,0.70957,5.01
3.04,0.27959,5.96,-0.25194,14.07,1.21066,5.25
3.05,0.61068,4.77,0.90421,7.87,1.32801,4.77
3.06,-1.56724,4.77,-0.53288,10.97,-0.52568,5.96
3.07,2.56354,5.25,0.52865,6.91,0.87273,3.81
3.08,4.6247,5.25,-1.14421,5.25,1.73115,6.2
3.09,6.90612,5.01,0.51394,7.87,1.98938,5.25
3.1,9.06401,5.25,0.6394,5.96,0.52159,5.96
3.11,11.58944,4.77,0.79837,5.96,1.51282,5.96
3.12,13.10659,5.96,-0.07471,6.91,1.52557,5.25
3.13,11.91116,5.96,0.65554,10.01,0.77173,5.01
3.14,8.54454,5.96,-0.72586,4.77,0.39103,5.96
3.15,4.22904,4.77,-0.3161,6.2,0.73884,15.97
3.16,0.5459,4.77,0.01378,9.06,-0.69037,5.25
3.17,-2.49812,5.01,-0.16489,6.91,1.89891,3.81
3.18,-4.79784,6.2,1.79486,4.05,2.64714,5.01
3.19,-3.69943,4.77,0.11456,5.96,1.92244,3.81
3.2,-1.07809,4.77,0.76323,7.87,1.80849,10.01
3.21,-1.41737,5.96,-0.59153,6.2,-0.82511,4.29
3.22,2.06095,5.96,0.31274,5.01,1.32782,5.01
3.23,3.16734,6.2,-0.87396,5.01,1.76815,6.2
3.24,1.2949,5.96,2.52348,6.2,1.39444,5.25
3.25,0.00731,5.96,2.77834,4.77,2.11668,6.2
3.26,-0.49008,4.05,3.68368,7.15,1.14953,4.77
3.27,0.99175,5.01,2.58919,6.2,1.30406,4.77
3.28,0.4515,5.01,2.14915,5.25,-0.32588,5.01
3.29,-0.83283,5.01,-0.28141,6.91,1.07759,4.77
3.3,1.48253,5.25,1.48927,7.15,1.61429,4.77
3.31,1.20017,5.25,2.27966,4.77,1.34587,4.05
3.32,0.96016,24.08,2.47258,5.72,0.10887,5.25
3.33,0.37481,38.15,3.22891,6.2,0.52832,5.01
3.34,0.64768,20.27,1.35803,4.05,-0.26751,5.01
3.35,0.22409,10.97,2.61173,5.25,1.7201,5.96
3.36,0.34745,7.87,-1.60615,6.2,0.87018,4.29
3.37,0.52961,8.82,-2.15858,5.72,1.24236,5.25
3.38,-0.04014,6.91,-3.30373,7.15,-0.77048,3.81
3.39,0.78208,5.72,-3.47445,5.96,0.19522,5.72
3.4,-0.1492,5.72,-1.65464,4.77,1.05388,5.01
3.41,1.36564,14.07,-1.06426,5.72,0.52594,5.01
3.42,2.0528,4.77,1.40537,5.01,1.23171,6.91
3.43,0.19855,12.16,0.13802,6.91,0.06579,4.05
3.44,3.33381,8.34,0.37627,6.2,0.6311,9.3
3.45,3.38202,5.01,1.47939,4.05,0.36629,7.39
3.46,3.73105,5.01,-1.36154,4.77,0.50746,8.82
3.47,1.39975,5.96,-1.30315,4.77,0.82413,5.01
3.48,1.11599,9.06,-0.23941,6.2,-1.13263,4.05
3.49,-0.61421,6.2,0.38196,5.01,3.42154,9.06
3.5,2.31687,5.96,0.0876,4.05,7.32939,3.81
3.51,3.39422,5.01,0.33962,4.77,10.15323,15.26
3.52,2.67848,8.82,0.37526,5.25,13.32052,5.01
3.53,2.28607,5.72,0.54646,4.77,16.03956,3.81
3.54,-0.28396,6.2,0.17199,5.96,18.3781,5.96
3.55,-1.06075,5.96,0.91051,5.96,21.75457,9.06
3.56,0.51184,5.96,0.59216,6.2,24.09608,4.05
3.57,-1.56768,5.01,0.63083,4.05,23.99758,3.81
3.58,-0.15741,5.01,-0.24159,5.96,24.27241,4.77
3.59,-0.62323,6.2,1.14571,5.25,23.42653,5.96
3.6,-0.30961,6.2,1.23737,7.15,22.6562,4.05
3.61,0.22426,4.05,-0.04427,5.01,19.63078,7.15
3.62,0.14296,5.96,0.55794,5.01,17.0952,4.05
3.63,0.42126,4.77,0.11467,5.01,13.2775,4.77
3.64,-0.30993,7.15,0.69138,5.96,9.68521,5.96
3.65,1.57928,4.05,0.02585,6.2,6.25311,4.77
3.66,1.8173,8.11,0.96263,3.81,2.17644,5.25
3.67,1.98573,6.2,-0.6742,5.01,-0.69973,4.05
3.68,-0.48403,5.01,-1.01999,7.15,-2.80756,4.77
3.69,-0.44821,5.01,0.73216,6.2,-2.7194,6.2
3.7,0.06885,6.2,-0.07689,4.05,-0.10681,4.05
3.71,-0.51324,5.96,1.54596,5.72,1.18164,5.96
3.72,3.01455,8.11,-0.04696,11.92,1.48668,4.05
3.73,2.55072,5.96,0.17209,5.72,0.19167,4.29
3.74,2.11815,6.2,1.0724,5.25,1.39622,5.01
3.75,0.83366,5.72,-0.5391,4.77,0.36735,4.05
3.76,0.11279,5.01,-0.27841,5.96,2.47017,3.81
3.77,1.65322,4.77,1.2433,5.96,1.14294,18.12
3.78,-0.14446,5.25,0.22707,4.05,0.71821,25.99
3.79,-1.64675,5.72,0.00522,5.25,0.50983,27.18
3.8,-1.16812,5.96,1.76417,41.96,1.54472,31.95
3.81,-0.72739,5.25,-0.2305,6.91,1.41463,8.11
3.82,1.72992,8.82,0.71384,5.72,1.26289,9.06
3.83,-1.11772,5.25,0.39478,10.97,1.34567,7.15
3.84,-2.57453,4.77,1.35443,6.91,1.22239,14.07
3.85,-3.22908,13.11,-0.40929,5.25,2.1002,5.01
3.86,-4.42675,17.17,-1.37287,6.2,0.22906,9.06
3.87,-3.72588,13.11,-2.1445,5.72,2.03373,5.96
3.88,1.53806,12.64,1.03578,7.15,-1.15391,8.82
3.89,4.00248,13.83,0.87488,4.77,-1.71351,6.91
3.9,7.80652,9.06,1.23498,5.25,-1.05726,7.15
3.91,10.5435,12.16,-0.08633,4.77,-0.6627,11.21
3.92,13.55129,6.91,0.01674,7.87,2.19776,6.2
3.93,13.563,5.96,-0.56281,5.96,2.53774,9.3
3.94,13.28217,10.97,2.02478,4.05,2.30928,6.91
3.95,10.30326,6.91,3.55802,3.81,1.29107,7.87
3.96,7.53686,5.25,0.92852,5.25,2.03357,7.15
3.97,4.53114,7.87,1.17844,9.06,1.34213,5.96
3.98,0.53146,5.96,-0.0445,8.82,1.3814,6.2
3.99,-0.15307,5.96,0.72094,5.25,0.91121,8.11
4.0,-0.36305,8.11,-0.35538,6.91,2.01884,8.11
4.01,1.04589,8.11,1.23028,4.29,0.56313,10.01
4.02,1.02129,6.2,0.86669,4.77,2.70779,4.77
4.03,-0.35956,5.25,0.74029,5.96,2.58886,5.96
4.04,2.79473,5.01,0.0012,4.05,1.7681,5.25
4.05,2.15823,5.96,2.25968,5.01,1.97362,6.2
4.06,2.27583,5.96,1.08084,5.96,0.56025,5.96
4.07,1.15356,5.25,1.93047,4.05,0.71585,5.25
4.08,-0.22784,5.72,0.16447,5.25,0.85574,5.01
4.09,1.24765,4.77,2.81212,6.2,1.7739,4.77
4.1,-0.13904,7.15,2.29519,5.96,0.37898,5.01
4.11,-0.14401,6.2,0.32315,4.77,1.91418,5.96
4.12,-0.17411,10.01,-1.64048,4.77,0.723,6.2
4.13,1.31219,8.82,-1.47551,4.29,1.10088,5.01
4.14,1.46913,6.91,-0.63029,4.05,1.12065,6.2
