timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
3.73,-1.17276,797.03,1.00413,628.95,-0.72125,621.08
3.74,-0.93497,1070.02,0.3771,632.05,0.30138,606.78
3.75,-0.18761,1284.12,0.29483,635.15,-1.33401,606.78
3.76,-0.96103,1102.21,-0.15798,606.06,-0.10211,604.15
3.77,-0.0912,1256.94,1.49886,621.08,-0.31542,611.07
3.78,-0.84156,863.31,-0.23249,607.01,0.09218,626.09
3.79,-0.27848,983.0,-1.70144,633.24,-1.18444,628.95
3.8,0.11819,895.02,-0.94827,591.04,-1.0354,619.17
3.81,-1.21624,1013.04,-0.3303,632.05,0.26018,612.97
3.82,-0.70364,719.79,0.11087,636.82,-1.88172,621.08
3.83,-0.58448,696.9,-0.46738,620.13,-2.04883,617.98
3.84,-0.56125,665.19,1.76799,599.15,-2.10966,634.19
3.85,0.35831,633.0,0.81586,621.08,-0.25051,610.83
3.86,-1.54616,704.05,0.38043,668.05,-2.10175,606.06
3.87,-1.73685,645.88,-0.0808,594.14,1.99324,604.15
3.88,-0.29643,675.92,0.78191,611.78,2.52342,619.89
3.89,-1.51795,681.16,-1.53782,616.79,4.13258,703.1
3.9,1.701,627.04,0.4292,651.12,5.64767,606.06
3.91,2.53189,626.09,0.28216,632.05,3.21363,610.83
3.92,2.95123,616.31,0.47668,605.82,1.2684,627.99
3.93,1.76033,735.28,-0.35031,610.11,0.12289,613.93
3.94,-0.13103,637.29,1.59016,634.19,0.31598,598.67
3.95,0.20037,658.04,0.81206,611.78,-1.06828,635.15
3.96,-0.27143,634.91,-0.39679,623.7,-0.74148,613.93
3.97,0.25574,601.05,0.59808,663.76,0.00353,603.91
3.98,-1.63427,670.91,-0.50819,624.18,-1.46122,623.23
3.99,0.65611,629.19,0.48801,613.93,-0.30105,613.93
4.0,1.17502,607.97,0.05018,624.9,0.3235,614.88
4.01,2.03944,648.26,1.27151,612.74,-1.316,602.25
4.02,0.69676,612.02,0.30927,635.15,0.92393,612.02
4.03,-0.00599,614.88,1.33483,633.24,1.11208,611.07
4.04,1.13379,619.89,0.08256,611.78,0.75678,605.11
4.05,-2.21092,621.08,1.62145,641.82,-0.7291,610.11
4.06,-3.36028,650.88,-0.32636,615.12,0.58549,638.96
4.07,-3.98163,617.98,0.01154,617.03,1.00395,623.94
4.08,-2.60885,612.97,-1.14896,621.8,-0.41986,623.7
4.09,-0.71576,592.71,2.41291,631.09,0.94626,591.04
4.1,-0.63461,600.1,2.80037,600.81,-0.33527,628.23
4.11,0.01492,628.23,3.64782,598.91,0.30963,610.11
4.12,-1.62238,617.27,1.4915,617.03,-1.34381,618.93
4.13,-0.05211,586.99,2.05467,617.98,-0.86242,607.97
4.14,0.32919,619.17,0.6295,609.16,-0.5801,634.91
4.15,-0.23703,979.9,0.92296,594.85,0.01181,620.84
4.16,0.05963,751.97,-0.39634,618.93,-1.35199,617.03
4.17,-0.41917,653.74,-0.77959,613.21,-0.76281,638.96
